I23917_JR124_Polemonium_viscosum,I23927_JR5496_Polemonium_elusum,I26284_JRRS15_Polemonium_eddyense,I23919_JR107_Polemonium_chartaceum,I26282_JR137_Polemonium_micranthum,I23920_JRRS17_Polemonium_occidentale_occidentale,I20029_JR11_Polemonium_reptans,I23907_JR95_Polemonium_pectinatum,I26285_JR136_Polemonium_delicatum,I23883_JRRS16_Polemonium_pulcherimum_shastense,I20028_JR8_Polemonium_elegans,I23905_JRRS10_Polemonium_carneum,I23912_JR112_Polemonium_pauciflorum,I23921_JR109_Polemonium_viscosum,I23914_JR098_Polemonium_brandegeii,I23913_JR040_Polemonium_molle,I20026_JR32_Polemonium_filicinum
0.0,0.02056502111770185,0.02326403321032379,0.022303075535156355,0.03629132882743833,0.028350740519475157,0.028265865546935998,0.028174858784035944,0.025217337721651634,0.02718815817858055,0.025273609545141833,0.024636096510977992,0.02441701671210361,0.019141323485565177,0.021076607265471146,0.022940285249744344,0.023571908069897677
0.02056502111770185,0.0,0.024241805400788474,0.022912611211617674,0.036132145225663326,0.028001317524751452,0.02827387975677514,0.02808617428999369,0.025158413825635686,0.027543422509984893,0.025385553613918328,0.02421806339678782,0.02498032087040668,0.021138023705417574,0.023185672790354227,0.02412222542544278,0.024313009420172314
0.02326403321032379,0.024241805400788474,0.0,0.022214912272122675,0.03624771976034741,0.028387898473499706,0.029348031768082008,0.029431988040885863,0.02684719085963435,0.028687873576432897,0.025475662252456965,0.027275084634861835,0.025528803793679403,0.02264189535000195,0.024528210264282396,0.025836039730483915,0.02583872259076028
0.022303075535156355,0.022912611211617674,0.022214912272122675,0.0,0.03589390392136245,0.028169320339913966,0.02914875501304015,0.02883454687283164,0.026387605673546775,0.02756978787930763,0.025216260848584304,0.025667508565508913,0.025053386928276036,0.021462027819116526,0.02291540407902069,0.024917177767692384,0.024637089154249576
0.03629132882743833,0.036132145225663326,0.03624771976034741,0.03589390392136245,0.0,0.03593759205730568,0.036241960038094496,0.03588562207409287,0.03502807876367025,0.03641304318227045,0.03528875421009259,0.03660403241018299,0.037761645243177426,0.03535840092994635,0.03664872705787784,0.038069708207402644,0.037866779155933686
0.028350740519475157,0.028001317524751452,0.028387898473499706,0.028169320339913966,0.03593759205730568,0.0,0.019373886350651917,0.025448187952066718,0.02518357092136986,0.026052332524335167,0.027029462905546565,0.027453261181180865,0.03075786179483935,0.027492137325731924,0.028505353728655758,0.02984925471546349,0.029486464125130497
0.028265865546935998,0.02827387975677514,0.029348031768082008,0.02914875501304015,0.036241960038094496,0.019373886350651917,0.0,0.02581247491986896,0.024772142404310433,0.027073832881711845,0.027630673669358286,0.02720606633113068,0.030690219740450185,0.027743291620810892,0.0290241759536752,0.029310606393384002,0.029279159487778064
0.028174858784035944,0.02808617428999369,0.029431988040885863,0.02883454687283164,0.03588562207409287,0.025448187952066718,0.02581247491986896,0.0,0.023634590947638378,0.025761022318473752,0.026427165651607357,0.027595188174224485,0.03020411434843858,0.027059085446314426,0.028455353525359977,0.02925447361284915,0.0295581045063518
0.025217337721651634,0.025158413825635686,0.02684719085963435,0.026387605673546775,0.03502807876367025,0.02518357092136986,0.024772142404310433,0.023634590947638378,0.0,0.01989575195336566,0.02426550253674493,0.025896209347308057,0.0276549236849598,0.024560809356232813,0.02613950370239021,0.026488546087851523,0.026777491933251796
0.02718815817858055,0.027543422509984893,0.028687873576432897,0.02756978787930763,0.03641304318227045,0.026052332524335167,0.027073832881711845,0.025761022318473752,0.01989575195336566,0.0,0.024789683979676132,0.02761162655374351,0.030196561828014404,0.026441657068311076,0.028220126646548323,0.029328096362668626,0.029062988013411464
0.025273609545141833,0.025385553613918328,0.025475662252456965,0.025216260848584304,0.03528875421009259,0.027029462905546565,0.027630673669358286,0.026427165651607357,0.02426550253674493,0.024789683979676132,0.0,0.025781616436844255,0.028289013825782996,0.02410005975242014,0.02584347123698058,0.02727782144283963,0.02682215470999808
0.024636096510977992,0.02421806339678782,0.027275084634861835,0.025667508565508913,0.03660403241018299,0.027453261181180865,0.02720606633113068,0.027595188174224485,0.025896209347308057,0.02761162655374351,0.025781616436844255,0.0,0.027717662390532728,0.02517375906564398,0.025401187642924553,0.02701234312445786,0.026738135439603888
0.02441701671210361,0.02498032087040668,0.025528803793679403,0.025053386928276036,0.037761645243177426,0.03075786179483935,0.030690219740450185,0.03020411434843858,0.0276549236849598,0.030196561828014404,0.028289013825782996,0.027717662390532728,0.0,0.02050186634204694,0.02180893922675918,0.022985276602328755,0.020174363018644004
