morph,llength,lwidth,elevation,lat,larea
foliosissimum,0.6392188385343897,-0.7236063880446539,2.6825,38.7860218,-0.32595202478075475
foliosissimum,0.461635379785303,-0.7550225842780328,2.6825,38.7860218,-0.5349516797632204
foliosissimum,0.41903922813528227,-1.171182981502945,2.6825,38.7860218,-0.9937082286381534
foliosissimum,1.007957920399979,-0.5533852381847867,2.6825,38.7860218,0.21300820694470166
foliosissimum,0.9062403960206536,-0.0888312137066157,2.6825,38.7860218,0.5758447070435474
foliosissimum,0.3692620596746185,-0.9852836042539637,2.6825,38.7860218,-0.8575860198498357
foliosissimum,0.06765864847381486,-1.0498221244986778,2.6825,38.7860218,-1.2237279512953534
foliosissimum,0.13540463700620298,-0.7657178733947807,2.6825,38.7860218,-0.8718777116590681
foliosissimum,0.23901690047049992,-1.0309536392597154,2.6825,38.7860218,-1.033501214059706
foliosissimum,0.3269027858454469,-1.0886619568248426,2.6825,38.7860218,-1.0033236462498862
foliosissimum,0.3600027337988489,-0.6998361680396009,2.6825,38.7860218,-0.5813979095112425
foliosissimum,0.4054651081081644,-0.6348782724359695,2.6825,38.7860218,-0.4709776395982956
foliosissimum,0.4478858239921165,-1.0498221244986778,2.6825,38.7860218,-0.8435007757770517
foliosissimum,0.219135529916671,-1.3470736479666092,2.6825,38.7860218,-1.3695025933204286
foliosissimum,0.5766133643039938,-0.8096809968158968,2.6825,38.7860218,-0.4746321077823934
foliosissimum,0.3074846997479607,-1.0861897686695525,2.6825,38.7860218,-1.0202695441920822
foliosissimum,0.9149565089945297,-0.0654278049665834,2.6825,38.7860218,0.607964228757456
foliosissimum,0.3818552424690307,-1.0216512475319814,2.6825,38.7860218,-0.8813604803334413
foliosissimum,0.9802040576178078,-0.5978370007556204,2.6825,38.7860218,0.14080258159169692
foliosissimum,0.5345421505786192,-0.6100322744629357,2.6825,38.7860218,-0.31705459915480705
foliosissimum,0.34358970439007686,-0.5447271754416722,2.6825,38.7860218,-0.4427019463220858
foliosissimum,0.3920420877760237,-0.5621189181535413,2.6825,38.7860218,-0.41164130564800816
foliosissimum,0.6471032420585384,-0.5978370007556204,2.6825,38.7860218,-0.19229823396757245
foliosissimum,0.8430029359608507,-0.283247475826393,2.6825,38.7860218,0.3181909848639672
foliosissimum,1.0128122987437116,-0.26570316529822313,2.6825,38.7860218,0.505544658174998
foliosissimum,0.15128944725969312,-1.04034338148753,2.6825,38.7860218,-1.1306184094983274
foliosissimum,0.3184537311185346,-1.0498221244986778,2.6825,38.7860218,-0.9729328686506337
foliosissimum,0.6931471805599453,-0.9675840262617056,2.6825,38.7860218,-0.5160013209722508
foliosissimum,0.48036641648746775,-0.616186139423817,2.6825,38.7860218,-0.3773841982068396
foliosissimum,0.5068176023684519,-1.1086626245216111,2.6825,38.7860218,-0.8434094974236499
foliosissimum,0.4824261492442928,-1.0216512475319814,2.6825,38.7860218,-0.780789573558179
foliosissimum,0.3818552424690307,-0.8556661100577202,2.6825,38.7860218,-0.71537534285918
